Count	Name	Contents	Position X	Position Y
1	MText	-	-957874001.54	-440756933.48
1	MText	S31	-957874001.54	-440756348.69
1	MText	S31	-957874001.54	-440755763.90
1	MText	Místnost	-957890071.21	-440756933.48
1	MText	Místnost	-957890071.21	-440756348.69
1	MText	Místnost	-957890071.21	-440755763.90
1	MText	Místnost	-957890071.21	-440757518.27
1	MText	Místnost	-957890071.21	-440759272.63
1	MText	Místnost	-957890071.21	-440758687.84
1	MText	Místnost	-957890071.21	-440758103.05
1	MText	Místnost	-957890071.21	-440755179.12
1	MText	7-T-06	-957891653.01	-440766290.08
1	MText	7-T-05	-957891653.01	-440765705.29
1	MText	7-T-04	-957891653.01	-440765120.50
1	MText	Místnost	-957890071.21	-440752839.97
1	MText	Místnost	-957890071.21	-440754594.33
1	MText	Místnost	-957890071.21	-440754009.54
1	MText	Místnost	-957890071.21	-440753424.75
1	MText	Místnost	-957890071.21	-440759857.41
1	MText	Místnost	-957890071.21	-440766290.08
1	MText	Místnost	-957890071.21	-440765705.29
1	MText	Místnost	-957890071.21	-440765120.50
1	MText	826.45	-957887211.98	-440752839.97
1	MText	9.57	-957887211.98	-440754594.33
1	MText	11.58	-957887211.98	-440754009.54
1	MText	11.62	-957887211.98	-440753424.75
1	MText	Místnost	-957890071.21	-440764535.71
1	MText	Místnost	-957890071.21	-440761611.78
1	MText	Místnost	-957890071.21	-440761026.99
1	MText	Místnost	-957890071.21	-440760442.20
1	MText	Místnost	-957890071.21	-440762196.56
1	MText	Místnost	-957890071.21	-440763950.93
1	MText	Místnost	-957890071.21	-440763366.14
1	MText	Místnost	-957890071.21	-440762781.35
1	MText	7-T-03	-957891653.01	-440764535.71
1	MText	POZN.	-957872304.70	-440751988.35
1	MText	OZN.	-957873934.43	-440751988.35
1	MText	STROP	-957876618.70	-440751988.35
1	MText	7-K-01	-957891653.01	-440752839.97
1	MText	7-O-03	-957891653.01	-440754594.33
1	MText	7-O-02	-957891653.01	-440754009.54
1	MText	7-O-01	-957891653.01	-440753424.75
1	MText	OZN.	-957878536.04	-440751988.35
1	MText	ÚČEL MIESTNOSTI	-957890004.10	-440751988.35
1	MText	ČÍSLO\PMIEST.	-957891585.91	-440751988.35
1	MText	\H2x;LEGENDA MIESTNOSTÍ	-957891442.11	-440750925.83
1	MText	PLOCHA	-957887547.52	-440751988.35
1	MText	STENY	-957881891.38	-440751988.35
1	MText	OZN.	-957883233.51	-440751988.35
1	MText	PODLAHA	-957886397.12	-440751988.35
1	MText	7-O-04	-957891653.01	-440755179.12
1	MText	7-O-15	-957891653.01	-440761611.78
1	MText	7-O-14	-957891653.01	-440761026.99
1	MText	7-O-13	-957891653.01	-440760442.20
1	MText	7-O-16	-957891653.01	-440762196.56
1	MText	7-T-02	-957891653.01	-440763950.93
1	MText	7-T-01	-957891653.01	-440763366.14
1	MText	7-O-17	-957891653.01	-440762781.35
1	MText	7-O-12	-957891653.01	-440759857.41
1	MText	7-O-07	-957891653.01	-440756933.48
1	MText	7-O-06	-957891653.01	-440756348.69
1	MText	7-O-05	-957891653.01	-440755763.90
1	MText	7-O-08	-957891653.01	-440757518.27
1	MText	7-O-11	-957891653.01	-440759272.63
1	MText	7-O-10	-957891653.01	-440758687.84
1	MText	7-O-09	-957891653.01	-440758103.05
1	MText	-	-957886464.22	-440765120.50
1	MText	EPOXID.NÁTER	-957886464.22	-440764535.71
1	MText	-	-957886464.22	-440763950.93
1	MText	-	-957886464.22	-440765705.29
1	MText	P7.1,P5.11	-957883300.62	-440753424.75
1	MText	P3.1	-957883300.62	-440752839.97
1	MText	-	-957886464.22	-440766290.08
1	MText	-	-957886464.22	-440763366.14
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440760442.20
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440759857.41
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440759272.63
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440761026.99
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440762781.35
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440762196.56
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440761611.78
1	MText	P7.1,P5.11	-957883300.62	-440754009.54
1	MText	P1.9	-957883300.62	-440760442.20
1	MText	P1.9	-957883300.62	-440759857.41
1	MText	P1.9	-957883300.62	-440759272.63
1	MText	P1.9	-957883300.62	-440761026.99
1	MText	P1.9	-957883300.62	-440762781.35
1	MText	P1.9	-957883300.62	-440762196.56
1	MText	P1.9	-957883300.62	-440761611.78
1	MText	-	-957883300.62	-440758687.84
1	MText	P1.10	-957883300.62	-440755763.90
1	MText	P1.10	-957883300.62	-440755179.12
1	MText	P1.10	-957883300.62	-440754594.33
1	MText	P1.9	-957883300.62	-440756348.69
1	MText	-	-957883300.62	-440758103.05
1	MText	-	-957883300.62	-440757518.27
1	MText	-	-957883300.62	-440756933.48
1	MText	-	-957886464.22	-440758687.84
1	MText	1.03	-957887211.98	-440761026.99
1	MText	1.03	-957887211.98	-440760442.20
1	MText	1.03	-957887211.98	-440759857.41
1	MText	1.03	-957887211.98	-440761611.78
1	MText	6.31	-957887211.98	-440763366.14
1	MText	11.07	-957887211.98	-440762781.35
1	MText	1.03	-957887211.98	-440762196.56
1	MText	7.99	-957887211.98	-440759272.63
1	MText	3.03	-957887211.98	-440756348.69
1	MText	5.36	-957887211.98	-440755763.90
1	MText	9.88	-957887211.98	-440755179.12
1	MText	5.96	-957887211.98	-440756933.48
1	MText	5.96	-957887211.98	-440758687.84
1	MText	11.98	-957887211.98	-440758103.05
1	MText	11.98	-957887211.98	-440757518.27
1	MText	10.55	-957887211.98	-440763950.93
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440755763.90
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440755179.12
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440754594.33
1	MText	KAMENNÁ DLAŽBA	-957886464.22	-440756348.69
