Count	Name	Contents	Position X	Position Y
1	MText	W21,W52	-957875115.81	-440720059.22
1	MText	W52	-957875115.81	-440720644.00
1	MText	-	-957875115.81	-440718889.64
1	MText	-	-957875115.81	-440719474.43
1	MText	W52	-957875115.81	-440722398.36
1	MText	W52	-957875115.81	-440722983.15
1	MText	W52	-957875115.81	-440721228.79
1	MText	W52	-957875115.81	-440721813.58
1	MText	-	-957875115.81	-440718304.85
1	MText	W12	-957875115.81	-440714796.13
1	MText	W35,W36	-957875115.81	-440715380.92
1	MText	-	-957875115.81	-440713626.55
1	MText	W12	-957875115.81	-440714211.34
1	MText	W43	-957875115.81	-440717135.28
1	MText	-	-957875115.81	-440717720.07
1	MText	W35,W36	-957875115.81	-440715965.70
1	MText	W35,W44	-957875115.81	-440716550.49
1	MText	NÁTER	-957873198.47	-440714796.13
1	MText	KAZET. PODHĽAD	-957873198.47	-440715380.92
1	MText	-	-957873198.47	-440713626.55
1	MText	NÁTER	-957873198.47	-440714211.34
1	MText	KAZET. PODHĽAD	-957873198.47	-440717135.28
1	MText	-	-957873198.47	-440717720.07
1	MText	KAZET. PODHĽAD	-957873198.47	-440715965.70
1	MText	KAZET. PODHĽAD	-957873198.47	-440716550.49
1	MText	-	-957873198.47	-440713041.77
1	MText	W91	-957875115.81	-440724737.51
1	MText	W35,W37	-957875115.81	-440725322.30
1	MText	W21,W52	-957875115.81	-440723567.94
1	MText	-	-957875115.81	-440724152.73
1	MText	-	-957875115.81	-440727076.66
1	MText	KAZ./SDK PODHĽAD	-957873198.47	-440712456.98
1	MText	-	-957875115.81	-440725907.09
1	MText	-	-957875115.81	-440726491.88
1	MText	MAĽBA	-957878471.15	-440715380.92
1	MText	MAĽBA	-957878471.15	-440715965.70
1	MText	TENKOVSTVÁ OM./MAĽBA	-957878471.15	-440714211.34
1	MText	TENKOVSTVÁ OM./MAĽBA	-957878471.15	-440714796.13
1	MText	MAĽBA	-957878471.15	-440717720.07
1	MText	MAĽBA	-957878471.15	-440718304.85
1	MText	MAĽBA/KERAM.OBKLAD	-957878471.15	-440716550.49
1	MText	KERAMICKÝ OBKLAD	-957878471.15	-440717135.28
1	MText	-	-957878471.15	-440713626.55
1	MText	P7.10	-957879813.28	-440725322.30
1	MText	-	-957879813.28	-440725907.09
1	MText	-	-957879813.28	-440724152.73
1	MText	-	-957879813.28	-440724737.51
1	MText	MAĽBA/SKLENENÝ OBKL.	-957878471.15	-440712456.98
1	MText	-	-957878471.15	-440713041.77
1	MText	-	-957879813.28	-440726491.88
1	MText	-	-957879813.28	-440727076.66
1	MText	MAĽBA	-957878471.15	-440725322.30
1	MText	-	-957878471.15	-440725907.09
1	MText	-	-957878471.15	-440724152.73
1	MText	LEPIDLO	-957878471.15	-440724737.51
1	MText	W21,W35,W36	-957875115.81	-440712456.98
1	MText	-	-957875115.81	-440713041.77
1	MText	-	-957878471.15	-440726491.88
1	MText	-	-957878471.15	-440727076.66
1	MText	STIERKA/SKLENENÝ OBKL.	-957878471.15	-440723567.94
1	MText	STIERKA/SKLENENÝ OBKL.	-957878471.15	-440720059.22
1	MText	SKLENENÝ OBKLAD	-957878471.15	-440720644.00
1	MText	MAĽBA	-957878471.15	-440718889.64
1	MText	MAĽBA	-957878471.15	-440719474.43
1	MText	SKLENENÝ OBKLAD	-957878471.15	-440722398.36
1	MText	SKLENENÝ OBKLAD	-957878471.15	-440722983.15
1	MText	SKLENENÝ OBKLAD	-957878471.15	-440721228.79
1	MText	SKLENENÝ OBKLAD	-957878471.15	-440721813.58
1	MText	ramená PO utesniť	-957868884.47	-440714211.34
1	MText	ramená PO utesniť	-957868884.47	-440714796.13
1	MText	-	-957868884.47	-440713041.77
1	MText	-	-957868884.47	-440713626.55
1	MText	S.H.PODHL.=2700	-957868884.47	-440716550.49
1	MText	S.H.PODHL.=2700	-957868884.47	-440717135.28
1	MText	S.H.PODHL.=2700	-957868884.47	-440715380.92
1	MText	S.H.PODHL.=2700	-957868884.47	-440715965.70
1	MText	S.H.PODHL.=3000/2700	-957868884.47	-440712456.98
1	MText	-	-957870514.20	-440724152.73
1	MText	-	-957870514.20	-440724737.51
1	MText	S34	-957870514.20	-440722983.15
