Count	Name	Contents	Position X	Position Y
1	MText	W52	-957874141.89	-440806865.64
1	MText	W52	-957874141.89	-440807450.43
1	MText	-	-957874141.89	-440805696.06
1	MText	W21,W52	-957874141.89	-440806280.85
1	MText	W52	-957874141.89	-440809204.79
1	MText	W21,W52	-957874141.89	-440809789.58
1	MText	W52	-957874141.89	-440808035.21
1	MText	W52	-957874141.89	-440808620.00
1	MText	W35,W36	-957874141.89	-440802187.34
1	MText	W35,W44	-957874141.89	-440802772.13
1	MText	w12	-957874141.89	-440801017.77
1	MText	W35,W36	-957874141.89	-440801602.55
1	MText	-	-957874141.89	-440804526.49
1	MText	-	-957874141.89	-440805111.28
1	MText	W43	-957874141.89	-440803356.91
1	MText	-	-957874141.89	-440803941.70
1	MText	KAZET. PODHĽAD	-957872224.56	-440801602.55
1	MText	KAZET. PODHĽAD	-957872224.56	-440802187.34
1	MText	NÁTER	-957872224.56	-440800432.98
1	MText	NÁTER	-957872224.56	-440801017.77
1	MText	-	-957872224.56	-440803941.70
1	MText	-	-957872224.56	-440804526.49
1	MText	KAZET.PODHĽAD	-957872224.56	-440802772.13
1	MText	KAZET.PODHĽAD	-957872224.56	-440803356.91
1	MText	W35,W37	-957874141.89	-440811543.94
1	MText	-	-957874141.89	-440812128.73
1	MText	-	-957874141.89	-440810374.36
1	MText	W91	-957874141.89	-440810959.15
1	MText	-	-957874141.89	-440813883.09
1	MText	KAZ./SDK PODHĽAD	-957872224.56	-440799848.19
1	MText	-	-957874141.89	-440812713.51
1	MText	W35	-957874141.89	-440813298.30
1	MText	w12	-957874141.89	-440800432.98
1	MText	MAĽBA	-957877497.23	-440802187.34
1	MText	MAĽBA/KERAM.OBKLAD	-957877497.23	-440802772.13
1	MText	TENKOVRSTv.OM/MAĽBA	-957877497.23	-440801017.77
1	MText	MAĽBA	-957877497.23	-440801602.55
1	MText	MAĽBA	-957877497.23	-440804526.49
1	MText	MAĽBA	-957877497.23	-440805111.28
1	MText	KERAMICKÝ OBKLAD	-957877497.23	-440803356.91
1	MText	MAĽBA	-957877497.23	-440803941.70
1	MText	-	-957878839.36	-440812128.73
1	MText	-	-957878839.36	-440812713.51
1	MText	-	-957878839.36	-440810959.15
1	MText	P7.10	-957878839.36	-440811543.94
1	MText	MAĽBA/SKLENEBÝ OBKL.	-957877497.23	-440799848.19
1	MText	TENKOVRSTv.OM/MAĽBA	-957877497.23	-440800432.98
1	MText	P4.3	-957878839.36	-440813298.30
1	MText	-	-957878839.36	-440813883.09
1	MText	MAĽBA	-957877497.23	-440811543.94
1	MText	-	-957877497.23	-440812128.73
1	MText	-	-957877497.23	-440810374.36
1	MText	LEPIDLO	-957877497.23	-440810959.15
1	MText	-	-957877497.23	-440813883.09
1	MText	W21,W35,W36	-957874141.89	-440799848.19
1	MText	-	-957877497.23	-440812713.51
1	MText	MAĽBA	-957877497.23	-440813298.30
1	MText	SKLENENÝ OBKLADE	-957877497.23	-440806865.64
1	MText	SKLENENÝ OBKLADE	-957877497.23	-440807450.43
1	MText	MAĽBA	-957877497.23	-440805696.06
1	MText	STIERKA/SKLENENÝ OBKL.	-957877497.23	-440806280.85
1	MText	SKLENENÝ OBKLADE	-957877497.23	-440809204.79
1	MText	STIERKA/SKLENENÝ OBKL.	-957877497.23	-440809789.58
1	MText	SKLENENÝ OBKLADE	-957877497.23	-440808035.21
1	MText	SKLENENÝ OBKLADE	-957877497.23	-440808620.00
1	MText	-	-957872224.56	-440805111.28
1	MText	S.H.PODHL.=2700	-957867910.55	-440801602.55
1	MText	S.H.PODHL.=2700	-957867910.55	-440802187.34
1	MText	ramená PO utesniť	-957867910.55	-440800432.98
1	MText	ramená PO utesniť	-957867910.55	-440801017.77
1	MText	-	-957867910.55	-440803941.70
1	MText	-	-957867910.55	-440804526.49
1	MText	S.H.PODHL.=2700	-957867910.55	-440802772.13
1	MText	S.H.PODHL.=2700	-957867910.55	-440803356.91
1	MText	S11	-957869540.28	-440811543.94
1	MText	-	-957869540.28	-440812128.73
1	MText	-	-957869540.28	-440810374.36
1	MText	-	-957869540.28	-440810959.15
1	MText	-	-957869540.28	-440813883.09
1	MText	S.H.PODHL.=3000/2700	-957867910.55	-440799848.19
1	MText	-	-957869540.28	-440812713.51
1	MText	S31	-957869540.28	-440813298.30
1	MText	-	-957867910.55	-440810959.15
1	MText	-	-957867910.55	-440811543.94
1	MText	S.H.PODHL.=2700	-957867910.55	-440809789.58
1	MText	-	-957867910.55	-440810374.36
1	MText	S.H.PODHL.=3000	-957867910.55	-440813298.30
