"CombPer","Cap","IWB","ODB","TotCap","Power"
120.0,58.8,18.0,-15.0,34.3,9.5
120.0,58.8,18.0,-13.0,35.8,10.0
120.0,58.8,18.0,-11.0,37.4,10.4
120.0,58.8,18.0,-10.0,38.3,10.7
120.0,58.8,18.0,-9.1,39.1,10.9
120.0,58.8,18.0,-7.6,40.5,11.2
120.0,58.8,18.0,-5.6,42.6,11.7
120.0,58.8,18.0,-3.7,44.6,12.1
120.0,58.8,18.0,-0.7,48.1,12.7
120.0,58.8,18.0,2.2,51.7,13.3
120.0,58.8,18.0,4.1,54.3,13.6
120.0,58.8,18.0,6.0,56.9,13.9
120.0,58.8,18.0,7.9,59.7,14.3
120.0,58.8,18.0,9.8,62.6,14.6
120.0,58.8,18.0,11.8,65.9,14.9
120.0,58.8,18.0,13.7,69.0,15.1
120.0,58.8,20.0,-15.0,34.2,10.1
120.0,58.8,20.0,-13.0,35.7,10.6
120.0,58.8,20.0,-11.0,37.3,11.0
120.0,58.8,20.0,-10.0,38.2,11.2
120.0,58.8,20.0,-9.1,39.0,11.4
120.0,58.8,20.0,-7.6,40.4,11.8
120.0,58.8,20.0,-5.6,42.4,12.2
120.0,58.8,20.0,-3.7,44.5,12.6
120.0,58.8,20.0,-0.7,47.9,13.2
120.0,58.8,20.0,2.2,51.6,13.7
120.0,58.8,20.0,4.1,54.1,14.0
120.0,58.8,20.0,6.0,56.8,14.3
120.0,58.8,20.0,7.9,59.6,14.6
120.0,58.8,20.0,9.8,62.5,14.9
120.0,58.8,20.0,11.8,65.7,15.2
120.0,58.8,20.0,13.7,67.8,15.0
120.0,58.8,21.0,-15.0,34.1,10.5
120.0,58.8,21.0,-13.0,35.6,10.9
120.0,58.8,21.0,-11.0,37.3,11.3
120.0,58.8,21.0,-10.0,38.1,11.5
120.0,58.8,21.0,-9.1,38.9,11.7
120.0,58.8,21.0,-7.6,40.4,12.0
120.0,58.8,21.0,-5.6,42.4,12.4
120.0,58.8,21.0,-3.7,44.4,12.8
120.0,58.8,21.0,-0.7,47.9,13.4
120.0,58.8,21.0,2.2,51.5,13.9
120.0,58.8,21.0,4.1,54.1,14.2
120.0,58.8,21.0,6.0,56.7,14.5
120.0,58.8,21.0,7.9,59.5,14.8
120.0,58.8,21.0,9.8,62.5,15.1
120.0,58.8,21.0,11.8,65.6,15.3
120.0,58.8,21.0,13.7,65.6,14.5
120.0,58.8,22.0,-15.0,34.1,10.8
120.0,58.8,22.0,-13.0,35.6,11.2
120.0,58.8,22.0,-11.0,37.2,11.6
120.0,58.8,22.0,-10.0,38.1,11.8
120.0,58.8,22.0,-9.1,38.9,12.0
120.0,58.8,22.0,-7.6,40.3,12.3
120.0,58.8,22.0,-5.6,42.3,12.7
120.0,58.8,22.0,-3.7,44.3,13.1
120.0,58.8,22.0,-0.7,47.8,13.6
120.0,58.8,22.0,2.2,51.5,14.1
120.0,58.8,22.0,4.1,54.0,14.4
120.0,58.8,22.0,6.0,56.7,14.7
120.0,58.8,22.0,7.9,59.5,15.0
120.0,58.8,22.0,9.8,62.4,15.2
120.0,58.8,22.0,11.8,63.4,14.7
120.0,58.8,22.0,13.7,63.4,13.9
120.0,58.8,24.0,-15.0,33.9,11.4
120.0,58.8,24.0,-13.0,35.4,11.8
120.0,58.8,24.0,-11.0,37.1,12.2
120.0,58.8,24.0,-10.0,38.0,12.4
120.0,58.8,24.0,-9.1,38.8,12.6
120.0,58.8,24.0,-7.6,40.2,12.8
120.0,58.8,24.0,-5.6,42.2,13.2
120.0,58.8,24.0,-3.7,44.2,13.5
120.0,58.8,24.0,-0.7,47.7,14.1
120.0,58.8,24.0,2.2,51.3,14.5
120.0,58.8,24.0,4.1,53.9,14.8
120.0,58.8,24.0,6.0,56.6,15.1
120.0,58.8,24.0,7.9,59.1,15.2
120.0,58.8,24.0,9.8,59.1,14.4
120.0,58.8,24.0,11.8,59.1,13.5
120.0,58.8,24.0,13.7,59.1,12.8
110.0,53.9,16.0,-15.0,34.2,9.8
110.0,53.9,16.0,-13.0,35.7,10.3
110.0,53.9,16.0,-11.0,37.4,10.7
110.0,53.9,16.0,-10.0,38.3,10.9
110.0,53.9,16.0,-9.1,39.1,11.1
110.0,53.9,16.0,-7.6,40.5,11.5
110.0,53.9,16.0,-5.6,42.5,11.9
110.0,53.9,16.0,-3.7,44.5,12.3
110.0,53.9,16.0,-0.7,48.0,12.9
110.0,53.9,16.0,2.2,51.7,13.5
110.0,53.9,16.0,4.1,54.2,13.8
110.0,53.9,16.0,6.0,56.9,14.1
110.0,53.9,16.0,7.9,59.7,14.4
110.0,53.9,16.0,9.8,62.6,14.7
110.0,53.9,16.0,11.8,65.8,15.0
110.0,53.9,16.0,13.7,69.0,15.3
110.0,53.9,18.0,-15.0,34.1,10.4
110.0,53.9,18.0,-13.0,35.6,10.8
110.0,53.9,18.0,-11.0,37.3,11.2
110.0,53.9,18.0,-10.0,38.1,11.5
110.0,53.9,18.0,-9.1,39.0,11.7
110.0,53.9,18.0,-7.6,40.4,12.0
110.0,53.9,18.0,-5.6,42.4,12.4
110.0,53.9,18.0,-3.7,44.4,12.8
110.0,53.9,18.0,-0.7,47.9,13.3
110.0,53.9,18.0,2.2,51.5,13.8
