"CombPer","Cap","IWB","ODB","TotCap","Power"
80.0,39.2,24.0,-10.0,37.4,14.9
80.0,39.2,24.0,-9.1,38.2,15.1
80.0,39.2,24.0,-7.6,39.4,15.1
80.0,39.2,24.0,-5.6,39.4,14.2
80.0,39.2,24.0,-3.7,39.4,13.4
80.0,39.2,24.0,-0.7,39.4,12.3
80.0,39.2,24.0,2.2,39.4,11.3
80.0,39.2,24.0,4.1,39.4,10.7
80.0,39.2,24.0,6.0,39.4,10.1
80.0,39.2,24.0,7.9,39.4,9.61
80.0,39.2,24.0,9.8,39.4,9.12
80.0,39.2,24.0,11.8,39.4,8.65
80.0,39.2,24.0,13.7,39.4,8.23
70.0,34.3,16.0,-15.0,33.5,13.5
70.0,34.3,16.0,-13.0,35.0,13.8
70.0,34.3,16.0,-11.0,36.7,14.1
70.0,34.3,16.0,-10.0,37.6,14.3
70.0,34.3,16.0,-9.1,38.4,14.4
70.0,34.3,16.0,-7.6,39.8,14.6
70.0,34.3,16.0,-5.6,41.8,14.9
70.0,34.3,16.0,-3.7,43.8,15.1
70.0,34.3,16.0,-0.7,44.6,14.2
70.0,34.3,16.0,2.2,44.6,13.0
70.0,34.3,16.0,4.1,44.6,12.3
70.0,34.3,16.0,6.0,44.6,11.6
70.0,34.3,16.0,7.9,44.6,11.0
70.0,34.3,16.0,9.8,44.6,10.4
70.0,34.3,16.0,11.8,44.6,9.9
70.0,34.3,16.0,13.7,44.6,9.4
70.0,34.3,18.0,-15.0,33.5,13.9
70.0,34.3,18.0,-13.0,35.0,14.2
70.0,34.3,18.0,-11.0,36.6,14.4
70.0,34.3,18.0,-10.0,37.5,14.6
70.0,34.3,18.0,-9.1,38.3,14.7
70.0,34.3,18.0,-7.6,39.7,14.9
70.0,34.3,18.0,-5.6,41.7,15.2
70.0,34.3,18.0,-3.7,42.1,14.5
70.0,34.3,18.0,-0.7,42.1,13.3
70.0,34.3,18.0,2.2,42.1,12.2
70.0,34.3,18.0,4.1,42.1,11.5
70.0,34.3,18.0,6.0,42.1,10.9
70.0,34.3,18.0,7.9,42.1,10.3
70.0,34.3,18.0,9.8,42.1,9.8
70.0,34.3,18.0,11.8,42.1,9.28
70.0,34.3,18.0,13.7,42.1,8.82
70.0,34.3,20.0,-15.0,33.4,14.3
70.0,34.3,20.0,-13.0,34.9,14.5
70.0,34.3,20.0,-11.0,36.5,14.8
70.0,34.3,20.0,-10.0,37.4,14.9
70.0,34.3,20.0,-9.1,38.2,15.0
70.0,34.3,20.0,-7.6,39.6,15.2
70.0,34.3,20.0,-5.6,39.6,14.3
70.0,34.3,20.0,-3.7,39.6,13.5
70.0,34.3,20.0,-0.7,39.6,12.4
70.0,34.3,20.0,2.2,39.6,11.3
70.0,34.3,20.0,4.1,39.6,10.7
70.0,34.3,20.0,6.0,39.6,10.2
70.0,34.3,20.0,7.9,39.6,9.65
70.0,34.3,20.0,9.8,39.6,9.16
70.0,34.3,20.0,11.8,39.6,8.69
70.0,34.3,20.0,13.7,39.6,8.26
70.0,34.3,21.0,-15.0,33.4,14.4
70.0,34.3,21.0,-13.0,34.9,14.7
70.0,34.3,21.0,-11.0,36.5,15.0
70.0,34.3,21.0,-10.0,37.4,15.1
70.0,34.3,21.0,-9.1,38.2,15.2
70.0,34.3,21.0,-7.6,38.3,14.6
70.0,34.3,21.0,-5.6,38.3,13.8
70.0,34.3,21.0,-3.7,38.3,13.0
70.0,34.3,21.0,-0.7,38.3,11.9
70.0,34.3,21.0,2.2,38.3,10.9
70.0,34.3,21.0,4.1,38.3,10.4
70.0,34.3,21.0,6.0,38.3,9.82
70.0,34.3,21.0,7.9,38.3,9.32
70.0,34.3,21.0,9.8,38.3,8.85
70.0,34.3,21.0,11.8,38.3,8.39
70.0,34.3,21.0,13.7,38.3,7.99
70.0,34.3,22.0,-15.0,33.3,14.6
70.0,34.3,22.0,-13.0,34.8,14.9
70.0,34.3,22.0,-11.0,36.5,15.1
70.0,34.3,22.0,-10.0,37.0,15.0
70.0,34.3,22.0,-9.1,37.0,14.6
70.0,34.3,22.0,-7.6,37.0,14.0
70.0,34.3,22.0,-5.6,37.0,13.2
70.0,34.3,22.0,-3.7,37.0,12.5
70.0,34.3,22.0,-0.7,37.0,11.5
70.0,34.3,22.0,2.2,37.0,10.5
70.0,34.3,22.0,4.1,37.0,9.99
70.0,34.3,22.0,6.0,37.0,9.47
70.0,34.3,22.0,7.9,37.0,8.99
70.0,34.3,22.0,9.8,37.0,8.54
70.0,34.3,22.0,11.8,37.0,8.11
70.0,34.3,22.0,13.7,37.0,7.72
70.0,34.3,24.0,-15.0,33.3,15.0
70.0,34.3,24.0,-13.0,34.5,15.0
70.0,34.3,24.0,-11.0,34.5,14.2
70.0,34.3,24.0,-10.0,34.5,13.8
70.0,34.3,24.0,-9.1,34.5,13.5
70.0,34.3,24.0,-7.6,34.5,12.9
70.0,34.3,24.0,-5.6,34.5,12.2
70.0,34.3,24.0,-3.7,34.5,11.5
70.0,34.3,24.0,-0.7,34.5,10.59
70.0,34.3,24.0,2.2,34.5,9.76
70.0,34.3,24.0,4.1,34.5,9.25
70.0,34.3,24.0,6.0,34.5,8.78
70.0,34.3,24.0,7.9,34.5,8.35
70.0,34.3,24.0,9.8,34.5,7.94
70.0,34.3,24.0,11.8,34.5,7.54
70.0,34.3,24.0,13.7,34.5,7.19
60.0,29.4,16.0,-15.0,33.4,14.4
60.0,29.4,16.0,-13.0,34.9,14.7
60.0,29.4,16.0,-11.0,36.5,15.0
60.0,29.4,16.0,-10.0,37.4,15.1
60.0,29.4,16.0,-9.1,38.2,15.2
60.0,29.4,16.0,-7.6,38.3,14.6
60.0,29.4,16.0,-5.6,38.3,13.7
60.0,29.4,16.0,-3.7,38.3,13.0
60.0,29.4,16.0,-0.7,38.3,11.9
60.0,29.4,16.0,2.2,38.3,10.9
60.0,29.4,16.0,4.1,38.3,10.4
60.0,29.4,16.0,6.0,38.3,9.82
60.0,29.4,16.0,7.9,38.3,9.31
60.0,29.4,16.0,9.8,38.3,8.85
60.0,29.4,16.0,11.8,38.3,8.39
60.0,29.4,16.0,13.7,38.3,7.99
60.0,29.4,18.0,-15.0,33.3,14.8
60.0,29.4,18.0,-13.0,34.8,15.0
60.0,29.4,18.0,-11.0,36.1,15.0
60.0,29.4,18.0,-10.0,36.1,14.6
60.0,29.4,18.0,-9.1,36.1,14.2
60.0,29.4,18.0,-7.6,36.1,13.6
60.0,29.4,18.0,-5.6,36.1,12.8
60.0,29.4,18.0,-3.7,36.1,12.2
60.0,29.4,18.0,-0.7,36.1,11.1
60.0,29.4,18.0,2.2,36.1,10.25
60.0,29.4,18.0,4.1,36.1,9.72
60.0,29.4,18.0,6.0,36.1,9.22
60.0,29.4,18.0,7.9,36.1,8.75
60.0,29.4,18.0,9.8,36.1,8.32
60.0,29.4,18.0,11.8,36.1,7.9
60.0,29.4,18.0,13.7,36.1,7.53
60.0,29.4,20.0,-15.0,33.3,15.1
60.0,29.4,20.0,-13.0,33.9,14.7
60.0,29.4,20.0,-11.0,33.9,13.9
60.0,29.4,20.0,-10.0,33.9,13.6
60.0,29.4,20.0,-9.1,33.9,13.2
60.0,29.4,20.0,-7.6,33.9,12.7
60.0,29.4,20.0,-5.6,33.9,12.0
60.0,29.4,20.0,-3.7,33.9,11.3
60.0,29.4,20.0,-0.7,33.9,10.4
60.0,29.4,20.0,2.2,33.9,9.58
60.0,29.4,20.0,4.1,33.9,9.09
60.0,29.4,20.0,6.0,33.9,8.63
60.0,29.4,20.0,7.9,33.9,8.21
60.0,29.4,20.0,9.8,33.9,7.81
60.0,29.4,20.0,11.8,33.9,7.42
60.0,29.4,20.0,13.7,33.9,7.07
60.0,29.4,21.0,-15.0,32.8,14.9
60.0,29.4,21.0,-13.0,32.8,14.2
60.0,29.4,21.0,-11.0,32.8,13.4
60.0,29.4,21.0,-10.0,32.8,13.1
60.0,29.4,21.0,-9.1,32.8,12.7
60.0,29.4,21.0,-7.6,32.8,12.2
60.0,29.4,21.0,-5.6,32.8,11.5
60.0,29.4,21.0,-3.7,32.8,10.92
60.0,29.4,21.0,-0.7,32.8,10.03
60.0,29.4,21.0,2.2,32.8,9.25
60.0,29.4,21.0,4.1,32.8,8.78
60.0,29.4,21.0,6.0,32.8,8.34
60.0,29.4,21.0,7.9,32.8,7.93
60.0,29.4,21.0,9.8,32.8,7.55
60.0,29.4,21.0,11.8,32.8,7.18
60.0,29.4,21.0,13.7,32.8,6.85
60.0,29.4,22.0,-15.0,31.7,14.4
60.0,29.4,22.0,-13.0,31.7,13.6
60.0,29.4,22.0,-11.0,31.7,12.9
60.0,29.4,22.0,-10.0,31.7,12.6
60.0,29.4,22.0,-9.1,31.7,12.2
60.0,29.4,22.0,-7.6,31.7,11.7
60.0,29.4,22.0,-5.6,31.7,11.1
60.0,29.4,22.0,-3.7,31.7,10.52
60.0,29.4,22.0,-0.7,31.7,9.67
60.0,29.4,22.0,2.2,31.7,8.93
60.0,29.4,22.0,4.1,31.7,8.48
60.0,29.4,22.0,6.0,31.7,8.06
60.0,29.4,22.0,7.9,31.7,7.67
60.0,29.4,22.0,9.8,31.7,7.3
60.0,29.4,22.0,11.8,31.7,6.94
60.0,29.4,22.0,13.7,31.7,6.63
60.0,29.4,24.0,-15.0,29.5,13.2
60.0,29.4,24.0,-13.0,29.5,12.5
60.0,29.4,24.0,-11.0,29.5,11.9
60.0,29.4,24.0,-10.0,29.5,11.6
60.0,29.4,24.0,-9.1,29.5,11.3
60.0,29.4,24.0,-7.6,29.5,10.84
60.0,29.4,24.0,-5.6,29.5,10.26
60.0,29.4,24.0,-3.7,29.5,9.74
60.0,29.4,24.0,-0.7,29.5,8.97
60.0,29.4,24.0,2.2,29.5,8.29
60.0,29.4,24.0,4.1,29.5,7.88
60.0,29.4,24.0,6.0,29.5,7.5
60.0,29.4,24.0,7.9,29.5,7.14
60.0,29.4,24.0,9.8,29.5,6.81
60.0,29.4,24.0,11.8,29.5,6.48
60.0,29.4,24.0,13.7,29.5,6.19
